Feature,Counts,ImportanceScore,Rank
omega_3-fillet-nir-g/100g,2,0.068571,1.0
c14:0_myristic_acid-whole_body-FAME-g/100g,13,0.044584,2.0
c18:0_stearic_acid-whole_body-FAME-g/100g,19,0.042081,3.0
fat-whole_body-combined-g/100g,8,0.038896,4.0
c18:2n6c_linoleic_acid-whole_body-FAME-percentage,8,0.038876,5.0
c18:2n6c_linoleic_acid-whole_body-FAME-g/100g,6,0.038803,6.0
moisture-whole_body-nir-g/100g,7,0.038239,7.0
c20:1_gadoleic_acid-whole_body-FAME-g/100g,23,0.037897,8.0
c20:4n3_eicosatetraenoic_acid-whole_body-FAME-g/100g,9,0.037302,9.0
energy_calc-whole_body-wet_chemistry-KJ/100g,12,0.036886,10.0
temperature_celsius,6,0.036617,11.0
moisture-whole_body-wet_chemistry-g/100g,17,0.035981,12.0
c16:1_palmitoleic_acid-whole_body-FAME-g/100g,18,0.035769,13.0
c14:1_myristoleic_acid-whole_body-FAME-percentage,17,0.035722,14.0
c24:0_lignoceric_acid-whole_body-FAME-percentage,21,0.035553,15.0
c24:0_lignoceric_acid-whole_body-FAME-g/100g,20,0.034503,16.0
c18:3n4_octadecatrienoic_acid-whole_body-FAME-percentage,14,0.033713,17.0
c17:0_heptadecanoic_acid-whole_body-FAME-g/100g,15,0.032928,18.0
c18:4n3_stearidonic_acid-whole_body-FAME-percentage,3,0.032245,19.0
ash-fillet-nir-g/100g,7,0.031971,20.0
c14:1_myristoleic_acid-whole_body-FAME-g/100g,11,0.031823,21.0
protein-whole_body-combined-g/100g,15,0.031703,22.0
energy_calc-whole_body-combined-KJ/100g,14,0.031652,23.0
c16:0_palmitic_acid-whole_body-FAME-g/100g,18,0.031557,24.0
c15:1_cis_10_pentadecanoic_acid-whole_body-FAME-percentage,11,0.030811,25.0
c20:1_gadoleic_acid-whole_body-FAME-percentage,17,0.030484,26.0
c20:3n3_cis_11_14_17_eicosatrienoic_acid-whole_body-FAME-percentage,7,0.030324,27.0
c21:0_heneicosanoic_acid-whole_body-FAME-g/100g,14,0.029871,28.0
c18:1n7_vaccenic_acid-whole_body-FAME-g/100g,8,0.029741,29.0
c13:0_tridecanoic_acid-whole_body-FAME-percentage,7,0.029735,30.0
c22:1n9_cetoleic_erucic_acid-whole_body-FAME-percentage,13,0.029684,31.0
c18:3n4_octadecatrienoic_acid-whole_body-FAME-g/100g,16,0.029316,32.0
c15:1_cis_10_pentadecanoic_acid-whole_body-FAME-g/100g,8,0.028225,33.0
c22:5n3_docosapentaenoic_acid-whole_body-FAME-g/100g,15,0.027854,34.0
c18:1t_elaidic_acid-whole_body-FAME-g/100g,7,0.027686,35.0
energy_calc-whole_body-nir-KJ/100g,13,0.027662,36.0
c18:2t_linolelaidic_acid-whole_body-FAME-g/100g,5,0.027552,37.0
c16:0_palmitic_acid-whole_body-FAME-percentage,9,0.027527,38.0
c22:1n9_cetoleic_erucic_acid-whole_body-FAME-g/100g,15,0.027486,39.0
c20:5n3_eicosapentaenoic_acid-whole_body-FAME-g/100g,11,0.027423,40.0
c18:3n6_gamma_linolenic-whole_body-FAME-percentage,5,0.027102,41.0
c18:1t_elaidic_acid-whole_body-FAME-percentage,8,0.027034,42.0
crude_protein-whole_body-wet_chemistry-g/100g,8,0.026927,43.0
c6:0_caproic_acid-whole_body-FAME-percentage,7,0.026202,44.0
fat-whole_body-nir-g/100g,11,0.025644,45.0
c16:2n4_hexadecadienoic_acid-whole_body-FAME-g/100g,11,0.025587,46.0
c18:1n9c_oleic_acid-whole_body-FAME-g/100g,9,0.025377,47.0
c17:1_cis_10_heptadecanoic_acid-whole_body-FAME-percentage,14,0.025299,48.0
c18:4n3_stearidonic_acid-whole_body-FAME-g/100g,7,0.025001,49.0
c24:1_nervonic_acid-whole_body-FAME-percentage,6,0.024924,50.0
c21:0_heneicosanoic_acid-whole_body-FAME-percentage,14,0.024703,51.0
c17:0_heptadecanoic_acid-whole_body-FAME-percentage,8,0.024681,52.0
fat-whole_body-wet_chemistry-g/100g,13,0.024678,53.0
event,8,0.024533,54.0
c20:4n6_arachidonic_acid-whole_body-FAME-percentage,14,0.02443,55.0
monounsaturated_fatty_acids-fillet-nir-g/100g,8,0.024397,56.0
c4:0_butyric_acid-whole_body-FAME-g/100g,8,0.024276,57.0
moisture-fillet-nir-g/100g,10,0.024019,58.0
kjeldahl-whole_body-wet_chemistry-mg/kg,4,0.023889,59.0
c22:0_behenic_acid-whole_body-FAME-percentage,12,0.023814,60.0
c20:2_eicosadienoic_acid-whole_body-FAME-g/100g,5,0.023709,61.0
c18:2t_linolelaidic_acid-whole_body-FAME-percentage,13,0.023656,62.0
c18:0_stearic_acid-whole_body-FAME-percentage,16,0.023408,63.0
c20:2_eicosadienoic_acid-whole_body-FAME-percentage,11,0.023305,64.0
c11:0_undecanoic_acid-whole_body-FAME-g/100g,7,0.023091,65.0
c8:0_caprylic_acid-whole_body-FAME-percentage,5,0.022867,66.0
c16:1_palmitoleic_acid-whole_body-FAME-percentage,7,0.022393,67.0
c23:0_tricosanoic_acid-whole_body-FAME-percentage,8,0.022294,68.0
c15:0_pentadecanoic_acid-whole_body-FAME-g/100g,8,0.02167,69.0
c20:5n3_eicosapentaenoic_acid-fillet-nir-g/100g,4,0.021661,70.0
c20:4n6_arachidonic_acid-whole_body-FAME-g/100g,8,0.021564,71.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-percentage,5,0.021526,72.0
c18:3n3_alpha_linolenic_acid-whole_body-FAME-g/100g,14,0.021501,73.0
polyunsaturated_fatty_acids-fillet-nir-g/100g,10,0.021426,74.0
c22:2_dicosadienoic_acid-whole_body-FAME-percentage,11,0.021362,75.0
c24:1_nervonic_acid-whole_body-FAME-g/100g,13,0.021326,76.0
c22:2_dicosadienoic_acid-whole_body-FAME-g/100g,14,0.021269,77.0
c12:0_lauric_acid-whole_body-FAME-g/100g,12,0.021178,78.0
c16:2n4_hexadecadienoic_acid-whole_body-FAME-percentage,6,0.02113,79.0
c22:6n3_docosahexaenoic_acid-fillet-nir-g/100g,5,0.021125,80.0
c11:0_undecanoic_acid-whole_body-FAME-percentage,8,0.020673,81.0
c17:1_cis_10_heptadecanoic_acid-whole_body-FAME-g/100g,9,0.020649,82.0
kjeldahl-whole_body-nir-mg/kg,8,0.020633,83.0
c6:0_caproic_acid-whole_body-FAME-g/100g,14,0.020544,84.0
c22:0_behenic_acid-whole_body-FAME-g/100g,8,0.02011,85.0
saturated_fatty_acids-fillet-nir-g/100g,5,0.020021,86.0
c18:3n3_alpha_linolenic_acid-whole_body-FAME-percentage,7,0.020016,87.0
calcium-whole_body-ICP-MS-mg/kg,6,0.019876,88.0
kjeldahl-whole_body-combined-mg/kg,12,0.019753,89.0
c12:0_lauric_acid-whole_body-FAME-percentage,9,0.019663,90.0
c23:0_tricosanoic_acid-whole_body-FAME-g/100g,12,0.019576,91.0
c20:0_arachidic_acid-whole_body-FAME-g/100g,7,0.019485,92.0
c18:3n6_gamma_linolenic-whole_body-FAME-g/100g,10,0.019282,93.0
total_protein-fillet-nir-g/100g,11,0.019088,94.0
c8:0_caprylic_acid-whole_body-FAME-g/100g,6,0.019033,95.0
c14:0_myristic_acid-whole_body-FAME-percentage,9,0.018856,96.0
c20:5n3_eicosapentaenoic_acid-whole_body-FAME-percentage,11,0.018646,97.0
c10:0_capric_acid-whole_body-FAME-percentage,5,0.017827,98.0
c10:0_capric_acid-whole_body-FAME-g/100g,7,0.01779,99.0
c22:5n3_docosapentaenoic_acid-whole_body-FAME-percentage,8,0.017223,100.0
fat-fillet-nir-g/100g,7,0.017013,101.0
phosphorus-whole_body-ICP-MS-mg/kg,13,0.016877,102.0
c18:1n7_vaccenic_acid-whole_body-FAME-percentage,8,0.016823,103.0
c13:0_tridecanoic_acid-whole_body-FAME-g/100g,10,0.016792,104.0
c4:0_butyric_acid-whole_body-FAME-percentage,6,0.016649,105.0
ash-whole_body-wet_chemistry-g/100g,7,0.016562,106.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-g/100g,9,0.016434,107.0
c20:3n3_cis_11_14_17_eicosatrienoic_acid-whole_body-FAME-g/100g,7,0.016029,108.0
c20:4n3_eicosatetraenoic_acid-whole_body-FAME-percentage,8,0.016011,109.0
ash-whole_body-nir-g/100g,7,0.015786,110.0
c22:6n3_docosahexaenoic_acid-whole_body-FAME-percentage,6,0.015355,111.0
c22:6n3_docosahexaenoic_acid-whole_body-FAME-g/100g,5,0.015316,112.0
c20:0_arachidic_acid-whole_body-FAME-percentage,8,0.014916,113.0
satiation_ration,9,0.013762,114.0
c15:0_pentadecanoic_acid-whole_body-FAME-percentage,7,0.013609,115.0
crude_protein-whole_body-nir-g/100g,5,0.012649,116.0
c18:1n9c_oleic_acid-whole_body-FAME-percentage,4,0.012577,117.0
