Feature,Counts,ImportanceScore,Rank
event,30,0.2014,1.0
weight-liver-empty,30,0.143212,2.0
weight-fillet-empty,30,0.092215,3.0
weight-gut-empty,29,0.075219,4.0
weight-viscera-measured_with_digesta_and_faeces,27,0.073304,5.0
thickness-belly_flap-measured_from_cranial_to_the_pectoral_fin,30,0.065735,6.0
thickness-belly_flap-measured_from_caudal_to_the_pelvic_fin,27,0.05994,7.0
weight-viscera-measured_without_digesta_and_faeces,26,0.049791,8.0
weight-heart-empty,28,0.047716,9.0
weight-whole_body-empty,27,0.045022,10.0
satiation_ration,28,0.044374,11.0
sex-empty-empty,27,0.044017,12.0
weight-gonad-empty,28,0.043494,13.0
thickness-belly_flap-measured_at_the_vent,28,0.04156,14.0
temperature_celsius,20,0.024279,15.0
