Feature,Counts,ImportanceScore,Rank
temperature_celsius,30,0.021,1.0
satiation_ration,30,0.019333,2.0
thick_buffy_coat,30,0.016667,3.0
triglycerides,30,0.015667,4.0
creatinine,30,0.015667,4.0
monocytes_abs,30,0.014667,5.0
neutrophils_abs,30,0.013,6.0
cortisol,30,0.011667,7.0
potassium,30,0.010667,8.0
colour,29,0.010667,8.0
aspartate_aminotransferase,30,0.01,9.0
neutrophils,29,0.01,9.0
haematocrit,30,0.01,9.0
glutamate_dehydrogenase,30,0.01,9.0
glucose,29,0.009667,10.0
prostaglandin_e2,27,0.009,11.0
alanine_aminotransferase,27,0.009,11.0
globulin,27,0.009,11.0
c-reactive_protein,26,0.009,11.0
magnesium,27,0.009,11.0
monocytes,25,0.008333,12.0
alkaline_phosphatase,25,0.008333,12.0
creatine_phosphokinase,25,0.008333,12.0
cholesterol,23,0.008,13.0
calcium,23,0.007667,14.0
phosphate,23,0.007667,14.0
lymphocytes,23,0.007667,14.0
albumin,22,0.007333,15.0
lymphocytes_abs,22,0.007333,15.0
haptoglobin,22,0.007333,15.0
sodium,21,0.007,16.0
total_protein,21,0.007,16.0
white_blood_cell_count,21,0.007,16.0
urea,19,0.006333,17.0
buffy_coat_thickness,18,0.006,18.0
chloride,15,0.005,19.0
haemoglobin,8,0.002667,20.0
erythrocyte_appearance,0,0.0,21.0
leucocyte_appearance,0,0.0,21.0
thrombocyte_appearance,0,0.0,21.0
bilirubin,0,0.0,21.0
