Feature,Counts,ImportanceScore,Rank
c20:4n6_arachidonic_acid-whole_body-FAME-percentage,29,0.016552,1.0
ash-whole_body-wet_chemistry-g/100g,29,0.013793,2.0
c22:1n9_cetoleic_erucic_acid-whole_body-FAME-percentage,29,0.013448,3.0
c22:6n3_docosahexaenoic_acid-whole_body-FAME-percentage,26,0.010769,4.0
c16:1_palmitoleic_acid-whole_body-FAME-percentage,14,0.010714,5.0
c18:0_stearic_acid-whole_body-FAME-percentage,29,0.01069,6.0
c18:2n6c_linoleic_acid-whole_body-FAME-percentage,27,0.01037,7.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-percentage,27,0.01037,7.0
c20:1_gadoleic_acid-whole_body-FAME-percentage,28,0.010357,8.0
c22:1n9_cetoleic_erucic_acid-whole_body-FAME-g/100g,28,0.010357,8.0
c18:3n4_octadecatrienoic_acid-whole_body-FAME-percentage,28,0.010357,8.0
c16:0_palmitic_acid-whole_body-FAME-percentage,21,0.01,9.0
c20:3n3_cis_11_14_17_eicosatrienoic_acid-whole_body-FAME-g/100g,26,0.01,9.0
c14:1_myristoleic_acid-whole_body-FAME-percentage,15,0.01,9.0
crude_protein-whole_body-nir-g/100g,18,0.01,9.0
c20:4n6_arachidonic_acid-whole_body-FAME-g/100g,18,0.01,9.0
c18:1n9c_oleic_acid-whole_body-FAME-percentage,17,0.01,9.0
kjeldahl-whole_body-nir-mg/kg,18,0.01,9.0
c20:4n3_eicosatetraenoic_acid-whole_body-FAME-percentage,20,0.01,9.0
fat-whole_body-nir-g/100g,22,0.01,9.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-g/100g,21,0.01,9.0
c14:0_myristic_acid-whole_body-FAME-percentage,22,0.01,9.0
c18:0_stearic_acid-whole_body-FAME-g/100g,25,0.01,9.0
c22:5n3_docosapentaenoic_acid-whole_body-FAME-g/100g,15,0.01,9.0
c20:2_eicosadienoic_acid-whole_body-FAME-g/100g,18,0.01,9.0
c16:2n4_hexadecadienoic_acid-whole_body-FAME-percentage,19,0.01,9.0
c18:3n3_alpha_linolenic_acid-whole_body-FAME-percentage,16,0.01,9.0
calcium-whole_body-ICP-MS-mg/kg,25,0.01,9.0
c14:0_myristic_acid-whole_body-FAME-g/100g,17,0.01,9.0
c16:2n4_hexadecadienoic_acid-whole_body-FAME-g/100g,22,0.01,9.0
c24:1_nervonic_acid-whole_body-FAME-percentage,17,0.01,9.0
c24:1_nervonic_acid-whole_body-FAME-g/100g,18,0.01,9.0
c17:1_cis_10_heptadecanoic_acid-whole_body-FAME-g/100g,15,0.01,9.0
moisture-fillet-nir-g/100g,16,0.01,9.0
c15:0_pentadecanoic_acid-whole_body-FAME-percentage,20,0.01,9.0
satiation_ration,16,0.01,9.0
fat-whole_body-wet_chemistry-g/100g,16,0.01,9.0
fat-whole_body-combined-g/100g,16,0.01,9.0
c18:3n4_octadecatrienoic_acid-whole_body-FAME-g/100g,29,0.01,9.0
ash-fillet-nir-g/100g,19,0.01,9.0
phosphorus-whole_body-ICP-MS-mg/kg,24,0.01,9.0
c20:1_gadoleic_acid-whole_body-FAME-g/100g,24,0.01,9.0
c20:0_arachidic_acid-whole_body-FAME-g/100g,16,0.01,9.0
c10:0_capric_acid-whole_body-FAME-percentage,17,0.01,9.0
