Feature,Counts,ImportanceScore,Rank
lesion-pylori,30,0.020333,1.0
satiation_ration,30,0.018333,2.0
other-liver,30,0.016667,3.0
other-spleen,30,0.013,4.0
artefact-pylori,30,0.012,5.0
nephrocalcinosis-kidney,30,0.012,5.0
inflammation-liver,30,0.011333,6.0
glomerulus-kidney,30,0.011333,6.0
gland_epithelium-stomach,30,0.011333,6.0
other-pancreas,30,0.011,7.0
thick_lamina_propria-hindgut,30,0.011,7.0
follicle-spleen,29,0.011,7.0
other-stomach,30,0.010667,8.0
cellular_inflammation-hindgut,30,0.010667,8.0
vacuolation-liver,30,0.010667,8.0
tubule-kidney,30,0.010333,9.0
oedema-midgut,29,0.01,10.0
inflammation-stomach,30,0.01,10.0
serosal-midgut,30,0.01,10.0
thick_lamina_propria-midgut,30,0.01,10.0
architecture-midgut,30,0.01,10.0
architecture-hindgut,30,0.01,10.0
branchitis-gill,29,0.009667,11.0
interstitium-kidney,27,0.009,12.0
temperature_celsius,26,0.008667,13.0
fatty-heart,23,0.007667,14.0
inflammation-gi_tract,23,0.007667,14.0
other-skin_muscle,21,0.007,15.0
oedema-hindgut,19,0.006333,16.0
cellular_inflammation-midgut,18,0.006,17.0
inflammation-empty,17,0.005667,18.0
serosal-hindgut,9,0.003,19.0
head-kidney,7,0.002333,20.0
other-gill,3,0.001,21.0
inflammation-skin_muscle,0,0.0,22.0
inflammation-heart,0,0.0,22.0
other-gonad_female,0,0.0,22.0
ellipsoids-spleen,0,0.0,22.0
general_histology-empty,0,0.0,22.0
