Feature,Counts,ImportanceScore,Rank
left_damage-eye-score,30,0.19038,1.0
appearance-faecal-score,30,0.124399,2.0
satiation_ration,27,0.051573,3.0
other-spine-score,27,0.049985,4.0
dorsal_deformed-fin-logical,26,0.049541,5.0
skin_issues-skin-logical,27,0.045974,6.0
normal-kidney-logical,24,0.045131,7.0
visceral_fat-viscera-score,25,0.040345,8.0
deformity-spine-logical,28,0.035875,9.0
right_damage-eye-score,22,0.033688,10.0
fluid-swim_bladder-logical,19,0.032508,11.0
temperature_celsius,17,0.030206,12.0
damage-tail-logical,22,0.029524,13.0
fluid-swim_bladder-percentage,21,0.028832,14.0
split-fin-logical,21,0.027977,15.0
general_health-gonad-index,19,0.024549,16.0
normal-stomach-logical,16,0.022959,17.0
general_health-heart-index,20,0.021338,18.0
abnormally_wide-stomach-logical,17,0.019383,19.0
lks-spine-score,15,0.018204,20.0
abnormal_fluid-swim_bladder-logical,13,0.016628,21.0
general_health-liver-index,14,0.014094,22.0
fluid-swim_bladder-mL,15,0.013931,23.0
