Feature,Counts,ImportanceScore,Rank
c13:0_tridecanoic_acid-whole_body-FAME-g/100g,6,0.029356,1.0
c18:1t_elaidic_acid-whole_body-FAME-percentage,11,0.029251,2.0
c10:0_capric_acid-whole_body-FAME-g/100g,9,0.028476,3.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-g/100g,9,0.026878,4.0
c20:1_gadoleic_acid-whole_body-FAME-g/100g,4,0.024286,5.0
c22:2_dicosadienoic_acid-whole_body-FAME-percentage,9,0.02337,6.0
c15:1_cis_10_pentadecanoic_acid-whole_body-FAME-g/100g,8,0.020685,7.0
c18:3n3_alpha_linolenic_acid-whole_body-FAME-g/100g,5,0.020278,8.0
c18:3n6_gamma_linolenic-whole_body-FAME-percentage,5,0.019402,9.0
c15:1_cis_10_pentadecanoic_acid-whole_body-FAME-percentage,5,0.017583,10.0
c16:2n4_hexadecadienoic_acid-whole_body-FAME-g/100g,5,0.017337,11.0
c16:1_palmitoleic_acid-whole_body-FAME-g/100g,6,0.017332,12.0
c22:0_behenic_acid-whole_body-FAME-percentage,7,0.016489,13.0
c6:0_caproic_acid-whole_body-FAME-percentage,5,0.016346,14.0
satiation_ration,8,0.016284,15.0
saturated_fatty_acids-fillet-NIR-g/100g,3,0.016,16.0
c24:0_lignoceric_acid-whole_body-FAME-g/100g,9,0.015842,17.0
c20:0_arachidic_acid-whole_body-FAME-g/100g,4,0.015278,18.0
c20:5n3_eicosapentaenoic_acid-whole_body-FAME-g/100g,4,0.014907,19.0
c14:1_myristoleic_acid-whole_body-FAME-g/100g,7,0.014874,20.0
c11:0_undecanoic_acid-whole_body-FAME-percentage,5,0.014722,21.0
c22:6n3_docosahexaenoic_acid-whole_body-FAME-percentage,5,0.014426,22.0
c22:2_dicosadienoic_acid-whole_body-FAME-g/100g,10,0.014086,23.0
c20:4n6_arachidonic_acid-whole_body-FAME-percentage,5,0.013646,24.0
c12:0_lauric_acid-whole_body-FAME-percentage,5,0.013184,25.0
c20:5n3_eicosapentaenoic_acid-whole_body-FAME-percentage,7,0.012723,26.0
c11:0_undecanoic_acid-whole_body-FAME-g/100g,5,0.012601,27.0
c18:0_stearic_acid-whole_body-FAME-percentage,8,0.011987,28.0
c18:2n6c_linoleic_acid-whole_body-FAME-percentage,6,0.011925,29.0
c18:4n3_stearidonic_acid-whole_body-FAME-g/100g,5,0.011856,30.0
polyunsaturated_fatty_acids-fillet-NIR-g/100g,6,0.011642,31.0
c20:5n3_eicosapentaenoic_acid-fillet-NIR-g/100g,5,0.011524,32.0
c20:1_gadoleic_acid-whole_body-FAME-percentage,6,0.011467,33.0
c23:0_tricosanoic_acid-whole_body-FAME-g/100g,4,0.011444,34.0
c24:1_nervonic_acid-whole_body-FAME-g/100g,4,0.011439,35.0
c24:1_nervonic_acid-whole_body-FAME-percentage,8,0.01125,36.0
c20:3n6_cis_8_11_14_eicosatrienoic_acid-whole_body-FAME-percentage,5,0.011085,37.0
moisture-fillet-NIR-g/100g,6,0.010754,38.0
c21:0_heneicosanoic_acid-whole_body-FAME-percentage,8,0.010074,39.0
fat-whole_body-NIR-g/100g,4,0.01006,40.0
fat-viscera-wet_chemistry-g/100g,5,0.010046,41.0
c13:0_tridecanoic_acid-whole_body-FAME-percentage,5,0.009929,42.0
c22:5n3_docosapentaenoic_acid-whole_body-FAME-percentage,6,0.009859,43.0
c4:0_butyric_acid-whole_body-FAME-percentage,7,0.009208,44.0
c8:0_caprylic_acid-whole_body-FAME-percentage,3,0.009194,45.0
c12:0_lauric_acid-whole_body-FAME-g/100g,5,0.009077,46.0
c16:0_palmitic_acid-whole_body-FAME-percentage,6,0.008573,47.0
c20:4n3_eicosatetraenoic_acid-whole_body-FAME-g/100g,8,0.008232,48.0
c23:0_tricosanoic_acid-whole_body-FAME-percentage,6,0.008013,49.0
c20:3n3_cis_11_14_17_eicosatrienoic_acid-whole_body-FAME-g/100g,8,0.007855,50.0
c17:1_cis_10_heptadecanoic_acid-whole_body-FAME-percentage,5,0.007298,51.0
total_protein-fillet-NIR-g/100g,2,0.007083,52.0
energy_calc-whole_body-wet_chemistry-KJ/100g,7,0.007017,53.0
