Feature,Counts,ImportanceScore,Rank
alkaline_phosphatase,29,0.109865,1.0
calcium,26,0.049605,2.0
thrombocyte_appearance,28,0.043901,3.0
glucose,24,0.040427,4.0
creatinine,23,0.04025,5.0
temperature_celsius,24,0.040228,6.0
haemoglobin,21,0.039416,7.0
phosphate,23,0.037407,8.0
albumin,25,0.03188,9.0
total_protein,19,0.029621,10.0
urea,23,0.028247,11.0
leucocyte_appearance,21,0.026368,12.0
alanine_aminotransferase,18,0.024719,13.0
white_blood_cell_count,18,0.022803,14.0
erythrocyte_appearance,19,0.022393,15.0
c-reactive_protein,19,0.020769,16.0
creatine_phosphokinase,18,0.019295,17.0
aspartate_aminotransferase,19,0.018908,18.0
prostaglandin_e2,18,0.018565,19.0
lymphocytes,16,0.018351,20.0
globulin,16,0.018039,21.0
satiation_ration,15,0.017912,22.0
monocytes,18,0.017851,23.0
neutrophils,11,0.017427,24.0
cholesterol,12,0.016833,25.0
triglycerides,15,0.016271,26.0
monocytes_abs,14,0.015745,27.0
sodium,17,0.015236,28.0
chloride,15,0.015233,29.0
lipase,14,0.015031,30.0
lymphocytes_abs,15,0.014157,31.0
lactate,13,0.014044,32.0
colour,16,0.013443,33.0
thick_buffy_coat,14,0.013143,34.0
neutrophils_abs,11,0.012659,35.0
potassium,13,0.012635,36.0
bilirubin,11,0.011443,37.0
glutamate_dehydrogenase,12,0.01135,38.0
magnesium,13,0.010639,39.0
haptoglobin,13,0.008322,40.0
cortisol,8,0.005737,41.0
