Feature,Counts,ImportanceScore,Rank
inflammation-empty,29,0.09082,1.0
inflammation-gi_tract,30,0.076811,2.0
follicle-spleen,30,0.059865,3.0
other-skin_muscle,30,0.057409,4.0
other-pancreas,28,0.054871,5.0
other-gill,30,0.050915,6.0
nephrocalcinosis-kidney,25,0.039444,7.0
oedema-hindgut,26,0.033232,8.0
fatty-heart,26,0.032662,9.0
branchitis-gill,22,0.028504,10.0
other-stomach,21,0.021756,11.0
temperature_celsius,21,0.021278,12.0
ellipsoids-spleen,20,0.021222,13.0
tubule-kidney,21,0.021162,14.0
serosal-hindgut,20,0.020855,15.0
inflammation-stomach,19,0.020737,16.0
head-kidney,18,0.020429,17.0
thick_lamina_propria-midgut,21,0.018951,18.0
satiation_ration,16,0.018759,19.0
other-gonad_female,17,0.017733,20.0
architecture-midgut,20,0.017676,21.0
vacuolation-liver,18,0.017281,22.0
inflammation-liver,22,0.017278,23.0
general_histology-empty,21,0.016857,24.0
interstitium-kidney,18,0.016765,25.0
oedema-midgut,18,0.016759,26.0
glomerulus-kidney,19,0.016598,27.0
cellular_inflammation-hindgut,16,0.014358,28.0
inflammation-skin_muscle,17,0.014206,29.0
serosal-midgut,17,0.013391,30.0
other-liver,18,0.01318,31.0
thick_lamina_propria-hindgut,13,0.011485,32.0
other-spleen,16,0.011169,33.0
artefact-pylori,16,0.010695,34.0
inflammation-heart,14,0.010176,35.0
lesion-pylori,10,0.009804,36.0
gland_epithelium-stomach,11,0.009461,37.0
cellular_inflammation-midgut,11,0.008589,38.0
architecture-hindgut,13,0.007428,39.0
