Feature,Counts,ImportanceScore,Rank
alkaline_phosphatase,30,0.143201,1.0
c-reactive_protein,23,0.069689,2.0
calcium,24,0.066149,3.0
creatinine,29,0.056899,4.0
temperature_celsius,26,0.054555,5.0
phosphate,21,0.047112,6.0
albumin,23,0.046674,7.0
haemoglobin,26,0.04238,8.0
glucose,21,0.042111,9.0
total_protein,20,0.041277,10.0
cholesterol,23,0.040085,11.0
sodium,17,0.039042,12.0
white_blood_cell_count,16,0.038878,13.0
creatine_phosphokinase,23,0.037394,14.0
event,25,0.03665,15.0
potassium,14,0.036619,16.0
prostaglandin_e2,16,0.036336,17.0
satiation_ration,15,0.035882,18.0
alanine_aminotransferase,18,0.035674,19.0
aspartate_aminotransferase,19,0.035448,20.0
triglycerides,14,0.035284,21.0
urea,22,0.033658,22.0
magnesium,19,0.03272,23.0
lipase,15,0.031442,24.0
lymphocytes_abs,25,0.031221,25.0
thick_buffy_coat,10,0.030776,26.0
glutamate_dehydrogenase,14,0.0294,27.0
ratioAlbuminGlobulin,10,0.028823,28.0
chloride,16,0.028822,29.0
ratioNeutrophilslymphocytes,10,0.027328,30.0
lactate,19,0.026761,31.0
bilirubin,9,0.026189,32.0
haptoglobin,16,0.026109,33.0
monocytes_abs,19,0.025599,34.0
globulin,17,0.024087,35.0
neutrophils_abs,16,0.02382,36.0
cortisol,16,0.021829,37.0
