Feature,Counts,ImportanceScore,Rank
creatinine,30,0.022667,1.0
glutamate_dehydrogenase,30,0.017,2.0
haemoglobin,30,0.014333,3.0
thick_buffy_coat,30,0.012333,4.0
triglycerides,30,0.012,5.0
monocytes_abs,30,0.012,5.0
haptoglobin,28,0.010714,6.0
sodium,29,0.01069,7.0
calcium,30,0.010667,8.0
lipase,30,0.010667,8.0
alkaline_phosphatase,27,0.01037,9.0
potassium,29,0.01,10.0
phosphate,30,0.01,10.0
magnesium,22,0.01,10.0
lymphocytes_abs,25,0.01,10.0
alanine_aminotransferase,30,0.01,10.0
neutrophils_abs,30,0.01,10.0
ratioNeutrophilslymphocytes,29,0.01,10.0
total_protein,20,0.01,10.0
globulin,25,0.01,10.0
cholesterol,27,0.01,10.0
chloride,30,0.01,10.0
c-reactive_protein,22,0.01,10.0
ratioAlbuminGlobulin,18,0.01,10.0
aspartate_aminotransferase,15,0.01,10.0
albumin,24,0.01,10.0
urea,30,0.01,10.0
white_blood_cell_count,27,0.01,10.0
temperature_celsius,26,0.01,10.0
event,8,0.01,10.0
prostaglandin_e2,25,0.01,10.0
glucose,27,0.01,10.0
cortisol,28,0.01,10.0
bilirubin,28,0.01,10.0
lactate,28,0.01,10.0
creatine_phosphokinase,11,0.01,10.0
satiation_ration,10,0.01,10.0
