Feature,Counts,ImportanceScore,Rank
other-stomach,30,0.026333,1.0
other-skin_muscle,30,0.023667,2.0
oedema-hindgut,30,0.023,3.0
vacuolation-liver,30,0.020667,4.0
inflammation-stomach,30,0.019,5.0
follicle-spleen,30,0.018333,6.0
oedema-midgut,30,0.016333,7.0
tubule-kidney,30,0.016333,7.0
other-pancreas,30,0.016333,7.0
inflammation-liver,30,0.015,8.0
nephrocalcinosis-kidney,30,0.013333,9.0
other-spleen,30,0.012667,10.0
branchitis-gill,30,0.011667,11.0
gland_epithelium-stomach,30,0.011333,12.0
thick_lamina_propria-hindgut,30,0.011333,12.0
glomerulus-kidney,30,0.010667,13.0
serosal-hindgut,30,0.010667,13.0
temperature_celsius,30,0.010333,14.0
event,25,0.01,15.0
cellular_inflammation-midgut,30,0.01,15.0
head-kidney,29,0.01,15.0
architecture-midgut,30,0.01,15.0
architecture-hindgut,30,0.01,15.0
fatty-heart,30,0.01,15.0
ellipsoids-spleen,29,0.01,15.0
lesion-pylori,30,0.01,15.0
other-liver,29,0.01,15.0
artefact-pylori,30,0.01,15.0
cellular_inflammation-hindgut,24,0.01,15.0
thick_lamina_propria-midgut,26,0.01,15.0
inflammation-heart,30,0.01,15.0
other-gonad_female,30,0.01,15.0
other-gill,30,0.01,15.0
satiation_ration,18,0.01,15.0
serosal-midgut,4,0.01,15.0
interstitium-kidney,26,0.01,15.0
inflammation-skin_muscle,0,0.0,16.0
