"","pit_tag_number","observable","value","method","collection","unit","event","trial"
"1","0840088000649081","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"2","0840088000649081","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"3","0840088000649081","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"4","0840088000649081","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"5","0840088000649081","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"6","0840088000649081","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"7","0840088000649082","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"8","0840088000649082","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"9","0840088000649082","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"10","0840088000649082","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"11","0840088000649082","buffy_coat_thickness","0.5_to_1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"12","0840088000649082","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"13","0840088000649143","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"14","0840088000649143","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"15","0840088000649143","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"16","0840088000649143","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"17","0840088000649143","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"18","0840088000649143","buffy_coat_thickness","0_to_0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"19","0840088000649160","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"20","0840088000649160","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"21","0840088000649160","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"22","0840088000649160","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"23","0840088000649160","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"24","0840088000649160","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"25","0840088000649188","thick_buffy_coat","y","haematology","blood_analyses","logical","WT7","salmon_trial_1"
"26","0840088000649188","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"27","0840088000649188","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"28","0840088000649188","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
"29","0840088000649188","buffy_coat_thickness","~0.5","haematology","blood_analyses","mm","WT7","salmon_trial_1"
"30","0840088000649188","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"31","0840088000649384","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"32","0840088000649384","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"33","0840088000649384","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"34","0840088000649384","buffy_coat_thickness","~1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"35","0840088000649384","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"36","0840088000649384","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"37","0840088000649454","thick_buffy_coat","n","haematology","blood_analyses","logical","WT14","salmon_trial_1"
"38","0840088000649454","colour","clear","plasma","blood_analyses",NA,"WT14","salmon_trial_1"
"39","0840088000649454","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"40","0840088000649454","thrombocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"41","0840088000649454","buffy_coat_thickness","~1","haematology","blood_analyses","mm","WT14","salmon_trial_1"
"42","0840088000649454","leucocyte_appearance","normal","haematology","blood_analyses",NA,"WT14","salmon_trial_1"
"43","0840088000649519","colour","normal","plasma","blood_analyses",NA,"WT7","salmon_trial_1"
"44","0840088000649519","erythrocyte_appearance","normal","haematology","blood_analyses",NA,"WT7","salmon_trial_1"
